Species,Estimated population,Fraction Population in PA1,Fraction Population in PA2,Fraction Population lost 2013,Fraction Population lost 2050 BAU,Fraction Population lost 2050 IGS,Fraction Population lost PA 2013,Fraction Population lost PA 2050 BAU,Fraction Population lost PA 2050 IGS,IUCN2013,IUCN2050BAU,IUCN2050IGS,,,,,last modified 02/07/2015
Astrocaryum acaule,38213278,0.110,0.377,0.190,0.687,0.402,0.003,0.269,0.093,,EN,VU,,,,,
Isertia hypoleuca,38212118,0.053,0.373,0.194,0.579,0.333,0.001,0.140,0.043,,EN,VU,,,,,
Duguetia calycina,38094094,0.156,0.349,0.069,0.385,0.152,0.001,0.169,0.024,,VU,,,,,,
Naucleopsis imitans,37979809,0.073,0.508,0.030,0.220,0.090,0.000,0.117,0.031,,,,,,,,
Licania unguiculata,37975202,0.054,0.515,0.031,0.340,0.149,0.000,0.154,0.051,,VU,,,,,,
Eschweilera tenuifolia,37952801,0.048,0.516,0.096,0.516,0.242,0.002,0.231,0.050,,EN,,,,,,
Piptadenia viridiflora,37943687,0.091,0.229,0.226,0.501,0.327,0.001,0.064,0.011,,EN,VU,,,,,
Meriania urceolata,37934009,0.094,0.409,0.160,0.510,0.271,0.001,0.168,0.035,,EN,,,,,,
Inga neblinensis,37892005,0.353,0.466,0.036,0.121,0.081,0.005,0.071,0.048,,,,,,,,
Erythroxylum havanense,37859164,0.096,0.478,0.015,0.012,0.005,0.000,0.003,0.000,,,,,,,,
Banara nitida,37836571,0.075,0.385,0.057,0.359,0.190,0.001,0.115,0.042,,VU,,,,,,
Botryarrhena pendula,37796585,0.091,0.464,0.036,0.222,0.123,0.001,0.072,0.034,,,,,,,,
Endlicheria bracteolata,37704406,0.061,0.403,0.017,0.034,0.016,0.000,0.016,0.006,,,,,,,,
Inga brachyrhachis,37633594,0.099,0.438,0.117,0.256,0.177,0.005,0.051,0.031,,,,,,,,
Mabea occidentalis,37537500,0.082,0.322,0.087,0.196,0.152,0.001,0.034,0.021,,,,,,,,
Coussarea paniculata,37502535,0.078,0.412,0.148,0.561,0.270,0.005,0.196,0.047,,EN,,,,,,
Inga vismiifolia,37473513,0.095,0.440,0.051,0.171,0.106,0.002,0.054,0.031,,,,,,,,
Chrysochlamys membranacea,37471062,0.097,0.210,0.050,0.197,0.149,0.001,0.021,0.017,,,,,,,,
Palicourea guianensis,37441761,0.085,0.365,0.141,0.462,0.212,0.002,0.190,0.033,,VU,,,,,,
Inga spectabilis,37383291,0.149,0.344,0.063,0.172,0.128,0.001,0.025,0.019,,,,,,,,
Glandonia williamsii,37355852,0.131,0.556,0.048,0.151,0.107,0.004,0.068,0.044,,,,,,,,
Hymenolobium sericeum,37271934,0.038,0.536,0.052,0.511,0.209,0.001,0.237,0.062,,EN,,,,,,
Geissospermum urceolatum,37142816,0.037,0.436,0.137,0.533,0.274,0.000,0.160,0.045,,EN,,,,,,
Mezilaurus duckei,37134788,0.049,0.567,0.037,0.436,0.203,0.001,0.207,0.078,,VU,,,,,,
Copaifera reticulata,37102122,0.124,0.415,0.065,0.316,0.170,0.001,0.113,0.046,,VU,,,,,,
Marlierea caudata,37094827,0.060,0.446,0.054,0.152,0.100,0.002,0.055,0.033,,,,,,,,
Talisia coriacea,37053004,0.009,0.685,0.053,0.653,0.229,0.001,0.410,0.086,,EN,,,,,,
Capparidastrum coimbranum,36829982,0.059,0.269,0.151,0.641,0.423,0.001,0.117,0.021,,EN,VU,,,,,
Diospyros tetrandra,36797208,0.015,0.267,0.368,0.673,0.394,0.008,0.051,0.008,VU,EN,VU,,,,,
Cochlospermum orinocense,36771777,0.043,0.299,0.077,0.201,0.137,0.003,0.048,0.021,,,,,,,,
Sloanea synandra,36667859,0.066,0.488,0.035,0.350,0.161,0.001,0.154,0.052,,VU,,,,,,
Couepia ulei,36666960,0.057,0.429,0.074,0.323,0.164,0.001,0.122,0.036,,VU,,,,,,
Marlierea schomburgkiana,36642397,0.057,0.341,0.023,0.100,0.061,0.000,0.028,0.013,,,,,,,,
Senegalia multipinnata,36584883,0.036,0.368,0.399,0.761,0.449,0.009,0.214,0.034,VU,EN,VU,,,,,
Guatteria guianensis,36581671,0.089,0.314,0.038,0.204,0.133,0.001,0.043,0.023,,,,,,,,
Cordia scabrifolia,36554332,0.048,0.361,0.311,0.689,0.425,0.015,0.167,0.045,VU,EN,VU,,,,,
Allophylus latifolius,36543284,0.090,0.578,0.014,0.439,0.192,0.000,0.246,0.088,,VU,,,,,,
Xylopia plowmanii,36522321.06,0.251833283,0.392772928,0.028787534,0.078864977,0.05800522,0.000566643,0.025765314,0.02253577,,,,,,,,
Endlicheria anomala,36508000,0.091,0.388,0.036,0.097,0.071,0.001,0.018,0.014,,,,,,,,
Platycarpum orinocense,36503895,0.064,0.438,0.052,0.185,0.111,0.002,0.064,0.037,,,,,,,,
Guatteria pteropus,36465724,0.050,0.444,0.026,0.181,0.089,0.001,0.060,0.023,,,,,,,,
Tachigali tessmannii,36328501,0.079,0.488,0.025,0.075,0.051,0.001,0.032,0.024,,,,,,,,
Alchornea castaneifolia,36268719,0.043,0.345,0.017,0.522,0.216,0.000,0.179,0.074,,EN,,,,,,
Maytenus macrocarpa,36254156,0.108,0.375,0.064,0.164,0.113,0.002,0.040,0.026,,,,,,,,
Terminalia guyanensis,36249242,0.129,0.249,0.093,0.293,0.162,0.002,0.102,0.024,,,,,,,,
Antonia ovata,36237098,0.092,0.181,0.084,0.281,0.181,0.004,0.051,0.023,,,,,,,,
Xylopia aromatica,36164341.46,0.044309688,0.351998087,0.23053093,0.582517359,0.333111185,0.004707032,0.129354163,0.028081876,,EN,VU,,,,,
Touroulia guianensis,36143070,0.094,0.504,0.043,0.429,0.178,0.001,0.226,0.064,,VU,,,,,,
Licaria martiniana,36103066,0.173,0.395,0.028,0.461,0.194,0.000,0.220,0.066,,VU,,,,,,
Miconia gratissima,36102330,0.011,0.318,0.338,0.675,0.403,0.010,0.082,0.020,VU,EN,VU,,,,,
Elvasia elvasioides,36044372,0.094,0.175,0.009,0.086,0.041,0.000,0.052,0.014,,,,,,,,
Simira cordifolia,36017442,0.138,0.271,0.127,0.236,0.163,0.001,0.028,0.010,,,,,,,,
Ormosia grossa,36010700,0.081,0.514,0.070,0.518,0.214,0.001,0.248,0.057,,EN,,,,,,
Corythophora rimosa,35999548,0.089,0.324,0.031,0.468,0.239,0.000,0.160,0.054,,VU,,,,,,
Senna silvestris,35986627,0.058,0.442,0.097,0.339,0.160,0.001,0.112,0.022,,VU,,,,,,
Heisteria spruceana,35944559,0.066,0.487,0.047,0.382,0.148,0.001,0.189,0.040,,VU,,,,,,
Casearia aculeata,35901015,0.086,0.316,0.112,0.457,0.295,0.001,0.091,0.028,,VU,,,,,,
Guatteria procera,35835336,0.083,0.310,0.147,0.567,0.266,0.002,0.180,0.044,,EN,,,,,,
Vantanea macrocarpa,35816756.11,0.046346276,0.43767149,0.051042488,0.569865216,0.277773821,0.000747752,0.20746612,0.071176396,,EN,,,,,,
Inga grandiflora,35807922,0.065,0.526,0.053,0.436,0.158,0.001,0.197,0.034,,VU,,,,,,
Aniba parviflora,35805170,0.047,0.418,0.165,0.506,0.275,0.003,0.176,0.053,,EN,,,,,,
Aldina latifolia,35616083,0.139,0.538,0.053,0.172,0.118,0.004,0.081,0.051,,,,,,,,
Duckesia verrucosa,35541624,0.074,0.485,0.102,0.581,0.269,0.001,0.263,0.076,,EN,,,,,,
Virola marlenei,35524388.31,0.041375843,0.330254216,0.044041969,0.22521267,0.159480292,0.000493659,0.050365866,0.031854057,,,,,,,,
Annona ambotay,35420880.91,0.128265284,0.501242256,0.088793556,0.438869065,0.135494679,0.000633309,0.269443882,0.032095465,,,,,,,,
Gustavia poeppigiana,35362252,0.114,0.347,0.140,0.446,0.257,0.001,0.138,0.042,,VU,,,,,,
Inga disticha,35357810,0.095,0.385,0.184,0.547,0.269,0.002,0.169,0.024,,EN,,,,,,
Jacaranda macrocarpa,35211715,0.118,0.525,0.025,0.087,0.058,0.001,0.033,0.025,,,,,,,,
Licania pallida,35154539,0.060,0.428,0.041,0.409,0.191,0.001,0.157,0.052,,VU,,,,,,
Mezilaurus synandra,35139434,0.089,0.396,0.064,0.372,0.152,0.002,0.148,0.038,,VU,,,,,,
Vouacapoua macropetala,35137249.23,0.057028448,0.166961006,0.029018457,0.189114265,0.1317193,0.000681186,0.036774429,0.020956779,,,,,,,,
Panopsis sessilifolia,35125474,0.077,0.262,0.006,0.255,0.090,0.000,0.062,0.011,,,,,,,,
Vismia macrophylla,35101805.76,0.078529424,0.41778645,0.035654307,0.191581323,0.099092142,0.000677165,0.063814964,0.025157965,,,,,,,,
Couepia elata,34960378,0.131,0.499,0.041,0.230,0.129,0.002,0.085,0.041,,,,,,,,
Lueheopsis rugosa,34944229,0.086,0.342,0.111,0.419,0.231,0.001,0.137,0.030,,VU,,,,,,
Abarema mataybifolia,34832427,0.069,0.543,0.066,0.510,0.233,0.001,0.268,0.074,,EN,,,,,,
Annona neoinsignis,34823602,0.042,0.471,0.080,0.362,0.186,0.001,0.115,0.037,,VU,,,,,,
Talisia hexaphylla,34717230,0.106,0.331,0.029,0.104,0.063,0.000,0.032,0.012,,,,,,,,
Dulacia guianensis,34637252,0.054,0.510,0.030,0.357,0.162,0.000,0.150,0.049,,VU,,,,,,
Croton smithianus,34593215,0.032,0.533,0.010,0.076,0.028,0.000,0.027,0.011,,,,,,,,
Stenostomum acreanum,34573995,0.128,0.189,0.031,0.152,0.085,0.000,0.070,0.018,,,,,,,,
Croton lanjouwiansis,34557512,0.047,0.557,0.057,0.519,0.245,0.001,0.264,0.101,,EN,,,,,,
Inga sapindoides,34522378,0.135,0.269,0.103,0.301,0.214,0.002,0.055,0.038,,VU,,,,,,
Platymiscium stipulare,34248050,0.099,0.426,0.056,0.167,0.109,0.002,0.049,0.030,,,,,,,,
Parinari montana,34027139,0.089,0.437,0.096,0.308,0.173,0.004,0.096,0.031,,VU,,,,,,
Micropholis cylindrocarpa,33912977,0.083,0.435,0.038,0.413,0.198,0.000,0.156,0.050,,VU,,,,,,
Zygia lathetica,33904862.96,0.037844978,0.398187251,0.025712144,0.118544832,0.071065877,0.000657403,0.036520437,0.022093931,,,,,,,,
Vouarana guianensis,33895486.63,0.073052779,0.450989614,0.10920944,0.454342903,0.228969887,0.00391412,0.190833677,0.052636178,,VU,,,,,,
Vochysia divergens,33835843.53,0.057575847,0.467282437,0.172107426,0.513634653,0.273832102,0.003097759,0.150149267,0.048203788,,EN,,,,,,
Swartzia tessmannii,33780480,0.063,0.447,0.046,0.213,0.128,0.001,0.069,0.035,,,,,,,,
Chrysophyllum cuneifolium,33693505,0.097,0.386,0.078,0.349,0.175,0.002,0.144,0.047,,VU,,,,,,
Protium balsamiferum,33674328,0.006,0.235,0.338,0.708,0.431,0.000,0.027,0.003,VU,EN,VU,,,,,
Croton tricolor,33624196,0.096,0.170,0.010,0.092,0.047,0.000,0.049,0.013,,,,,,,,
Caryodendron orinocense,33609281,0.116,0.316,0.064,0.199,0.143,0.002,0.035,0.022,,,,,,,,
Eugenia punicifolia,33566822,0.115,0.444,0.031,0.210,0.090,0.000,0.081,0.015,,,,,,,,
Couepia chrysocalyx,33551876,0.109,0.440,0.052,0.158,0.117,0.002,0.041,0.032,,,,,,,,
Aniba kappleri,33532586,0.036,0.222,0.521,0.750,0.589,0.013,0.101,0.044,EN,EN,EN,,,,,
Xylopia nervosa,33527719.24,0.122872758,0.575056986,0.040996705,0.132965681,0.096238221,0.002806128,0.060343665,0.04052846,,,,,,,,
Ruizterania cassiquiarensis,33471235,0.105,0.562,0.027,0.183,0.095,0.001,0.070,0.032,,,,,,,,
Guarea scabra,33448644,0.080,0.439,0.027,0.337,0.164,0.000,0.128,0.045,,VU,,,,,,
Pouteria melanopoda,33437418,0.089,0.147,0.015,0.151,0.104,0.000,0.050,0.023,,,,,,,,
Pouteria platyphylla,33370294,0.062,0.469,0.035,0.362,0.171,0.001,0.152,0.051,,VU,,,,,,
Monopteryx inpae,33363598,0.102,0.355,0.021,0.425,0.195,0.000,0.200,0.072,,VU,,,,,,
Sweetia fruticosa,33350209,0.089,0.255,0.183,0.527,0.337,0.001,0.088,0.016,,EN,VU,,,,,
Ocotea neblinae,33325802,0.168,0.557,0.020,0.074,0.060,0.000,0.024,0.025,,,,,,,,
Mezilaurus sprucei,33322039,0.109,0.516,0.034,0.190,0.124,0.002,0.068,0.043,,,,,,,,
Ocotea minor,33260798,0.099,0.460,0.136,0.555,0.276,0.001,0.233,0.060,,EN,,,,,,
Wittmackanthus stanleyanus,33232737.38,0.155504382,0.237506225,0.091108141,0.203609776,0.157484564,0.001322476,0.024056636,0.02313665,,,,,,,,
Sloanea sinemariensis,33165848,0.037,0.332,0.278,0.616,0.345,0.009,0.102,0.022,,EN,VU,,,,,
Dulacia candida,33114613,0.065,0.491,0.098,0.460,0.219,0.002,0.188,0.056,,VU,,,,,,
Platonia insignis,33099509,0.116,0.417,0.039,0.353,0.151,0.001,0.182,0.046,,VU,,,,,,
Licaria armeniaca,33084539,0.104,0.387,0.079,0.311,0.176,0.003,0.079,0.033,,VU,,,,,,
Pouteria macrocarpa,33016945,0.028,0.296,0.301,0.663,0.409,0.010,0.137,0.032,VU,EN,VU,,,,,
Pseudima frutescens,32983662,0.068,0.317,0.219,0.614,0.344,0.001,0.130,0.029,,EN,VU,,,,,
Senegalia tenuifolia,32978916,0.102,0.437,0.059,0.116,0.072,0.001,0.021,0.008,,,,,,,,
Inga huberi,32967837,0.176,0.371,0.013,0.292,0.116,0.000,0.170,0.041,,,,,,,,
Poecilanthe hostmannii,32927225,0.092,0.194,0.025,0.250,0.155,0.001,0.085,0.036,,,,,,,,
Marlierea spruceana,32895111,0.129,0.472,0.028,0.185,0.101,0.003,0.069,0.039,,,,,,,,
Licania parvifolia,32837056,0.038,0.327,0.027,0.259,0.085,0.000,0.044,0.008,,,,,,,,
Miconia elata,32804485,0.180,0.220,0.103,0.300,0.187,0.004,0.058,0.026,,VU,,,,,,
Platypodium elegans,32770784,0.155,0.268,0.218,0.386,0.267,0.002,0.049,0.017,,VU,,,,,,
Eugenia lambertiana,32737713,0.058,0.491,0.118,0.513,0.251,0.003,0.223,0.049,,EN,,,,,,
Parinari parilis,32569075,0.100,0.457,0.039,0.170,0.100,0.002,0.056,0.032,,,,,,,,
Simira rubescens,32553212,0.070,0.366,0.072,0.208,0.133,0.002,0.062,0.030,,,,,,,,
Sloanea nitida,32517443,0.055,0.514,0.028,0.311,0.135,0.000,0.151,0.048,,VU,,,,,,
Parkia velutina,32508171,0.098,0.322,0.107,0.289,0.200,0.008,0.078,0.040,,,,,,,,
Duguetia lepidota,32446187,0.070,0.379,0.037,0.172,0.142,0.002,0.064,0.050,,,,,,,,
Micropholis cyrtobotrya,32387404,0.044,0.244,0.350,0.584,0.443,0.020,0.093,0.043,VU,EN,VU,,,,,
Cordia sagotii,32382996,0.123,0.329,0.033,0.291,0.141,0.001,0.132,0.032,,,,,,,,
Trichilia poeppigiana,32333390.26,0.107977002,0.411012664,0.043179045,0.453446093,0.235725107,0.000920594,0.145134636,0.048937396,,VU,,,,,,
Eschweilera eperuetorum,32318157,0.030,0.635,0.069,0.572,0.259,0.001,0.327,0.128,,EN,,,,,,
Cecropia polystachya,32301059,0.110,0.263,0.195,0.375,0.226,0.001,0.047,0.012,,VU,,,,,,
Hirtella glandulosa,32289619,0.068,0.324,0.191,0.436,0.272,0.003,0.070,0.020,,VU,,,,,,
Licania arachnoidea,32275171,0.105,0.501,0.018,0.072,0.039,0.000,0.022,0.014,,,,,,,,
Cenostigma macrophyllum,32257522,0.034,0.407,0.237,0.758,0.322,0.003,0.221,0.018,,EN,VU,,,,,
Emmotum fagifolium,32253077,0.043,0.170,0.165,0.343,0.264,0.008,0.049,0.026,,VU,,,,,,
Talisia esculenta,32179279,0.078,0.273,0.170,0.475,0.299,0.001,0.095,0.024,,VU,,,,,,
Curatella americana,32150798,0.071,0.260,0.296,0.533,0.332,0.004,0.051,0.014,,EN,VU,,,,,
Sloanea fragrans,32148050,0.159,0.361,0.057,0.240,0.147,0.001,0.057,0.028,,,,,,,,
Dendropanax macropodus,32122811,0.093,0.553,0.023,0.167,0.080,0.001,0.063,0.024,,,,,,,,
Zygia coccinea,32083422.29,0.115577798,0.316576731,0.110227212,0.26597224,0.212312357,0.003803803,0.050737044,0.041512866,,,,,,,,
Tachigali ptychophysca,32011416,0.098,0.509,0.037,0.250,0.163,0.002,0.085,0.052,,,,,,,,
Endlicheria macrophylla,31998760,0.140,0.368,0.047,0.292,0.152,0.004,0.115,0.041,,,,,,,,
Ocotea petalanthera,31957121,0.044,0.566,0.107,0.528,0.257,0.002,0.255,0.096,,EN,,,,,,
Inga tenuistipula,31949803,0.109,0.371,0.060,0.223,0.143,0.001,0.061,0.029,,,,,,,,
Posoqueria latifolia,31909372,0.133,0.311,0.079,0.264,0.176,0.002,0.086,0.037,,,,,,,,
Swartzia oblanceolata,31848248,0.048,0.222,0.050,0.288,0.183,0.001,0.078,0.033,,,,,,,,
Cordia sellowiana,31795719,0.023,0.426,0.279,0.717,0.383,0.009,0.229,0.044,,EN,VU,,,,,
Licaria triandra,31762212,0.152,0.285,0.131,0.340,0.221,0.001,0.058,0.022,,VU,,,,,,
Dacryodes roraimensis,31681718,0.150,0.474,0.015,0.075,0.047,0.000,0.026,0.019,,,,,,,,
Aspidosperma auriculatum,31555847,0.032,0.433,0.189,0.526,0.303,0.003,0.159,0.033,,EN,VU,,,,,
Aspidosperma araracanga,31481737,0.039,0.429,0.094,0.563,0.266,0.001,0.192,0.052,,EN,,,,,,
Diclinanona tessmannii,31456952,0.082,0.507,0.028,0.113,0.068,0.001,0.044,0.027,,,,,,,,
Guatteria puncticulata,31447379,0.066,0.519,0.011,0.065,0.031,0.000,0.023,0.013,,,,,,,,
Swartzia klugii,31436815,0.103,0.372,0.020,0.072,0.070,0.000,0.027,0.021,,,,,,,,
Sterculia duckei,31330243,0.031,0.581,0.050,0.581,0.233,0.001,0.311,0.087,,EN,,,,,,
Chamaecrista apoucouita,31296135,0.072,0.193,0.030,0.230,0.138,0.001,0.069,0.024,,,,,,,,
Recordoxylon speciosum,31230772,0.129,0.408,0.141,0.544,0.270,0.001,0.235,0.056,,EN,,,,,,
Chimarrhis duckeana,31212280,0.107,0.611,0.014,0.243,0.104,0.000,0.119,0.040,,,,,,,,
Cedrela fissilis,31145758,0.128,0.334,0.158,0.384,0.247,0.002,0.076,0.025,,VU,,,,,,
Macrolobium pendulum,31141820,0.065,0.454,0.193,0.648,0.309,0.007,0.258,0.038,,EN,VU,,,,,
Alchornea grandiflora,31046355,0.191,0.579,0.009,0.029,0.032,0.000,0.015,0.020,,,,,,,,
Vochysia obidensis,31026995.16,0.114509109,0.310881914,0.226727011,0.47505983,0.299010948,0.00136161,0.084249068,0.023549417,,VU,,,,,,
Inga melinonis,31018905,0.068,0.409,0.129,0.405,0.238,0.005,0.131,0.041,,VU,,,,,,
Galipea jasminiflora,31009998,0.011,0.271,0.543,0.757,0.589,0.008,0.081,0.021,EN,EN,EN,,,,,
Amanoa gracillima,31004401,0.080,0.283,0.005,0.237,0.081,0.000,0.056,0.009,,,,,,,,
Erythroxylum citrifolium,30996662,0.073,0.408,0.081,0.482,0.247,0.002,0.194,0.074,,VU,,,,,,
Swartzia lamellata,30972394,0.062,0.446,0.085,0.414,0.212,0.001,0.144,0.044,,VU,,,,,,
Guazuma crinita,30964190,0.270,0.421,0.028,0.199,0.099,0.001,0.057,0.019,,,,,,,,
Swartzia canescens,30920872,0.334,0.363,0.008,0.258,0.055,0.000,0.211,0.023,,,,,,,,
Hirtella hispidula,30884070,0.080,0.403,0.094,0.410,0.199,0.001,0.165,0.041,,VU,,,,,,
Dendropanax umbellatus,30842921,0.051,0.444,0.032,0.088,0.056,0.001,0.035,0.024,,,,,,,,
Astronium fraxinifolium,30809876,0.125,0.324,0.169,0.406,0.244,0.001,0.097,0.027,,VU,,,,,,
Casearia uleana,30632548,0.194,0.224,0.087,0.249,0.179,0.002,0.034,0.023,,,,,,,,
Annona montana,30542751,0.060,0.276,0.298,0.537,0.365,0.005,0.072,0.024,,EN,VU,,,,,
Pleurothyrium parviflorum,30478268,0.125,0.439,0.047,0.224,0.133,0.002,0.070,0.036,,,,,,,,
Randia armata,30456179,0.130,0.392,0.058,0.193,0.121,0.002,0.055,0.029,,,,,,,,
Siparuna poeppigii,30247707,0.037,0.617,0.062,0.521,0.232,0.001,0.293,0.111,,EN,,,,,,
Tachigali albiflora,30219262,0.049,0.571,0.013,0.028,0.015,0.000,0.004,0.002,,,,,,,,
Nectandra longifolia,30189503,0.142,0.376,0.079,0.303,0.183,0.001,0.069,0.029,,VU,,,,,,
Ormosia discolor,30177688,0.098,0.517,0.050,0.215,0.098,0.001,0.068,0.020,,,,,,,,
Aspidosperma darienense,30150670,0.187,0.283,0.081,0.214,0.162,0.002,0.027,0.023,,,,,,,,
Parahancornia negroensis,30046929,0.140,0.550,0.052,0.183,0.117,0.004,0.090,0.053,,,,,,,,
Humiriastrum cuspidatum,29948080,0.134,0.531,0.062,0.167,0.119,0.004,0.065,0.041,,,,,,,,
Tovomita eggersii,29924659.81,0.11186603,0.554253001,0.042331355,0.143898014,0.106365598,0.002895485,0.063799801,0.04311994,,,,,,,,
Quiina amazonica,29785508,0.087,0.532,0.056,0.379,0.144,0.000,0.206,0.046,,VU,,,,,,
Inga alata,29760396,0.232,0.233,0.082,0.281,0.166,0.001,0.084,0.019,,,,,,,,
Licania reticulata,29747789,0.068,0.454,0.040,0.216,0.120,0.002,0.072,0.032,,,,,,,,
Protium krukovii,29707536,0.080,0.419,0.173,0.545,0.295,0.006,0.176,0.037,,EN,,,,,,
Cecropia purpurascens,29658006,0.056,0.432,0.055,0.525,0.285,0.000,0.159,0.057,,EN,,,,,,
Ruizterania trichanthera,29654563,0.081,0.463,0.049,0.179,0.111,0.002,0.063,0.037,,,,,,,,
Batesia floribunda,29590028,0.061,0.406,0.206,0.470,0.287,0.009,0.132,0.040,,VU,,,,,,
Elaeoluma schomburgkiana,29566053,0.147,0.461,0.036,0.322,0.134,0.000,0.134,0.027,,VU,,,,,,
Miconia lepidota,29538876,0.084,0.450,0.159,0.473,0.260,0.004,0.167,0.039,,VU,,,,,,
Oxandra euneura,29491508,0.150,0.369,0.072,0.213,0.134,0.002,0.050,0.025,,,,,,,,
Cynometra hostmanii,29480700,0.030,0.713,0.088,0.637,0.192,0.000,0.418,0.065,,EN,,,,,,
Himatanthus bracteatus,29479777,0.107,0.357,0.070,0.277,0.155,0.002,0.088,0.033,,,,,,,,
Pterocarpus violaceus,29448281,0.079,0.457,0.052,0.656,0.278,0.000,0.317,0.111,,EN,,,,,,
Mouriri guianensis,29381528,0.100,0.391,0.081,0.450,0.220,0.001,0.167,0.037,,VU,,,,,,
Ferdinandusa loretensis,29339236,0.111,0.530,0.042,0.146,0.100,0.002,0.059,0.037,,,,,,,,
Combretum laxum,29330229,0.100,0.307,0.217,0.486,0.314,0.005,0.101,0.034,,VU,VU,,,,,
Micropholis trunciflora,29304237,0.057,0.445,0.057,0.466,0.224,0.001,0.164,0.049,,VU,,,,,,
Cybianthus fulvopulverulentus,29235561,0.080,0.421,0.031,0.480,0.261,0.000,0.175,0.076,,VU,,,,,,
Pourouma ferruginea,29229138,0.086,0.426,0.068,0.347,0.176,0.000,0.139,0.044,,VU,,,,,,
Virola carinata,29181203.29,0.129109854,0.566930323,0.032860265,0.141801252,0.078577943,0.000772717,0.056390749,0.025432855,,,,,,,,
Manilkara inundata,29156275,0.182,0.421,0.057,0.231,0.150,0.003,0.065,0.039,,,,,,,,
Aspidosperma macrocarpon,29040326,0.131,0.303,0.182,0.359,0.233,0.002,0.049,0.012,,VU,,,,,,
Licania urceolaris,28964679,0.119,0.443,0.047,0.135,0.097,0.001,0.036,0.027,,,,,,,,
Pouteria cayennensis,28922702,0.093,0.460,0.021,0.087,0.045,0.001,0.050,0.023,,,,,,,,
Ilex divaricata,28777990,0.162,0.436,0.027,0.345,0.128,0.000,0.150,0.026,,VU,,,,,,
Iryanthera tessmannii,28761537,0.096,0.415,0.068,0.190,0.116,0.001,0.057,0.022,,,,,,,,
Tachigali alba,28670894,0.038,0.527,0.141,0.619,0.305,0.005,0.277,0.097,,EN,VU,,,,,
Dendrobangia multinervia,28640326,0.046,0.479,0.016,0.098,0.052,0.000,0.028,0.014,,,,,,,,
Eschweilera juruensis,28561349,0.148,0.416,0.031,0.122,0.080,0.001,0.027,0.015,,,,,,,,
Licaria brasiliensis,28536384,0.018,0.516,0.156,0.685,0.326,0.004,0.310,0.067,,EN,VU,,,,,
Swartzia brachyrachis,28490784,0.047,0.376,0.165,0.467,0.258,0.004,0.133,0.030,,VU,,,,,,
Calycophyllum obovatum,28479410,0.144,0.558,0.021,0.073,0.056,0.001,0.027,0.025,,,,,,,,
Chrysophyllum sparsiflorum,28439880,0.060,0.444,0.106,0.403,0.212,0.003,0.145,0.040,,VU,,,,,,
Melicoccus oliviformis,28359539,0.144,0.191,0.152,0.364,0.293,0.004,0.052,0.046,,VU,,,,,,
Inga crassiflora,28313635,0.019,0.635,0.058,0.636,0.193,0.002,0.391,0.067,,EN,,,,,,
Swartzia leptopetala,28306066,0.111,0.358,0.084,0.240,0.166,0.003,0.044,0.030,,,,,,,,
Socratea rostrata,28276440,0.129,0.076,0.294,0.661,0.576,0.002,0.056,0.048,,EN,EN,,,,,
Anaxagorea acuminata,28246274,0.068,0.544,0.050,0.390,0.191,0.001,0.216,0.091,,VU,,,,,,
Ixora peruviana,28210170,0.178,0.422,0.036,0.267,0.139,0.001,0.070,0.036,,,,,,,,
Hydrochorea gonggrijpii,28204926,0.020,0.379,0.016,0.033,0.026,0.000,0.005,0.004,,,,,,,,
Moronobea coccinea,28175993,0.134,0.385,0.035,0.202,0.107,0.001,0.086,0.025,,,,,,,,
Licania triandra,28137695,0.085,0.528,0.015,0.089,0.053,0.000,0.028,0.020,,,,,,,,
Toulicia reticulata,28114432,0.071,0.286,0.187,0.427,0.251,0.000,0.070,0.019,,VU,,,,,,
Guatteria dura,28028242,0.152,0.487,0.018,0.084,0.055,0.001,0.026,0.021,,,,,,,,
Ceiba chodatii,28023719,0.166,0.436,0.044,0.316,0.173,0.001,0.088,0.042,,VU,,,,,,
Mouriri huberi,27998346,0.076,0.448,0.068,0.304,0.164,0.002,0.119,0.044,,VU,,,,,,
Licania granvillei,27976434,0.193,0.397,0.022,0.118,0.071,0.000,0.053,0.023,,,,,,,,
Ocotea acutangula,27937554,0.010,0.256,0.340,0.648,0.398,0.007,0.050,0.010,VU,EN,VU,,,,,
Vochysia lomatophylla,27869336.58,0.105635854,0.430765688,0.052960209,0.162659122,0.096398653,0.001950644,0.033872133,0.020114376,,,,,,,,
Licania macrocarpa,27866419,0.141,0.444,0.026,0.075,0.058,0.000,0.020,0.018,,,,,,,,
Pentaplaris davidsmithii,27754002,0.217,0.256,0.067,0.189,0.119,0.001,0.045,0.022,,,,,,,,
Bowdichia virgilioides,27708743,0.093,0.288,0.250,0.535,0.315,0.005,0.093,0.020,,EN,VU,,,,,
Byrsonima laevigata,27641752,0.058,0.407,0.055,0.225,0.133,0.002,0.084,0.045,,,,,,,,
Henriettella fascicularis,27631193,0.115,0.216,0.106,0.325,0.169,0.002,0.073,0.028,,VU,,,,,,
Guatteria punctata,27566426,0.077,0.213,0.414,0.667,0.498,0.010,0.103,0.040,VU,EN,VU,,,,,
Elvasia calophyllea,27546068,0.173,0.433,0.022,0.363,0.131,0.000,0.169,0.031,,VU,,,,,,
