Species,Estimated population,Fraction Population in PA1,Fraction Population in PA2,Fraction Population lost 2013,Fraction Population lost 2050 BAU,Fraction Population lost 2050 IGS,Fraction Population lost PA 2013,Fraction Population lost PA 2050 BAU,Fraction Population lost PA 2050 IGS,IUCN2013,IUCN2050BAU,IUCN2050IGS,,,,,last modified 02/07/2015
Mora paraensis,333697191,0.114,0.408,0.099,0.647,0.237,0.002,0.310,0.046,,EN,,,,,,
Protium aracouchini,333579404,0.096,0.401,0.086,0.366,0.202,0.003,0.123,0.045,,VU,,,,,,
Mollia lepidota,330793074,0.081,0.505,0.084,0.420,0.167,0.001,0.187,0.030,,VU,,,,,,
Drypetes amazonica,326897115,0.125,0.418,0.059,0.243,0.144,0.002,0.068,0.034,,,,,,,,
Laetia corymbulosa,326676597,0.152,0.251,0.100,0.335,0.230,0.001,0.059,0.034,,VU,,,,,,
Vochysia vismiifolia,325162812.6,0.056103402,0.359306569,0.216482129,0.527436933,0.302137848,0.002751722,0.097886746,0.025947873,,EN,VU,,,,,
Pouteria reticulata,322258279,0.085,0.409,0.156,0.457,0.260,0.006,0.144,0.046,,VU,,,,,,
Inga ynga,321466479,0.101,0.381,0.162,0.413,0.254,0.004,0.120,0.038,,VU,,,,,,
Aldina heterophylla,320327011,0.084,0.507,0.014,0.253,0.115,0.000,0.089,0.033,,,,,,,,
Manicaria saccifera,317201665,0.050,0.632,0.051,0.412,0.097,0.002,0.301,0.030,,VU,,,,,,
Micrandra elata,316485596,0.109,0.474,0.040,0.142,0.095,0.003,0.059,0.034,,,,,,,,
Protium pilosissimum,316137105,0.011,0.267,0.351,0.685,0.409,0.005,0.051,0.011,VU,EN,VU,,,,,
Macrolobium acaciifolium,315549868,0.070,0.414,0.056,0.280,0.137,0.001,0.101,0.024,,,,,,,,
Mora gonggrijpii,314362248,0.128,0.371,0.026,0.103,0.070,0.001,0.021,0.010,,,,,,,,
Zygia latifolia,314118020.7,0.078074015,0.467425303,0.12002211,0.412547955,0.20827052,0.004044374,0.162097304,0.036503759,,VU,,,,,,
Eperua grandiflora,313809864,0.074,0.186,0.028,0.170,0.115,0.001,0.045,0.020,,,,,,,,
Triplaris weigeltiana,311374939,0.077187382,0.421849098,0.059441629,0.390520977,0.184856023,0.000963913,0.141142671,0.046145375,,VU,,,,,,
Vouacapoua americana,310596931.4,0.084465314,0.31350292,0.177467987,0.557428402,0.283020902,0.005773352,0.170640331,0.02879421,,EN,,,,,,
Handroanthus barbatus,305952775,0.054,0.371,0.047,0.475,0.208,0.001,0.162,0.054,,VU,,,,,,
Leonia crassa,304725305,0.102,0.279,0.055,0.173,0.105,0.001,0.029,0.011,,,,,,,,
Sloanea eichleri,303132027,0.055,0.329,0.271,0.566,0.340,0.005,0.081,0.021,,EN,VU,,,,,
Swartzia polyphylla,299508696,0.062,0.495,0.068,0.430,0.182,0.001,0.179,0.042,,VU,,,,,,
Caraipa densifolia,297652752,0.102,0.541,0.049,0.200,0.104,0.002,0.088,0.030,,,,,,,,
Chaetocarpus schomburgkianus,297094205,0.072,0.426,0.017,0.092,0.050,0.000,0.030,0.008,,,,,,,,
Pouteria cladantha,296967250,0.066,0.512,0.089,0.433,0.199,0.003,0.199,0.055,,VU,,,,,,
Iryanthera elliptica,294616657,0.084,0.535,0.029,0.214,0.092,0.001,0.099,0.031,,,,,,,,
Taralea oppositifolia,293811433,0.053,0.499,0.068,0.337,0.138,0.003,0.145,0.030,,VU,,,,,,
Senefeldera inclinata,293207518,0.125,0.459,0.052,0.137,0.095,0.001,0.040,0.026,,,,,,,,
Licania densiflora,293045790,0.076,0.385,0.017,0.038,0.028,0.000,0.015,0.009,,,,,,,,
Cecropia latiloba,291959883,0.071,0.390,0.053,0.310,0.145,0.001,0.093,0.018,,VU,,,,,,
Caraipa grandifolia,288141690,0.044,0.575,0.052,0.419,0.151,0.001,0.238,0.051,,VU,,,,,,
Protium altsonii,287003601,0.087,0.440,0.133,0.394,0.246,0.009,0.123,0.052,,VU,,,,,,
Mauritiella aculeata,286638790,0.161,0.526,0.021,0.086,0.058,0.000,0.032,0.024,,,,,,,,
Malouetia tamaquarina,285724865,0.056,0.409,0.022,0.171,0.066,0.000,0.067,0.014,,,,,,,,
Pouteria macrophylla,285178289,0.077,0.355,0.182,0.498,0.272,0.003,0.136,0.035,,VU,,,,,,
Aspidosperma cuspa,283829479,0.096,0.480,0.015,0.011,0.005,0.000,0.003,0.000,,,,,,,,
Apeiba petoumo,283628036,0.053,0.403,0.181,0.547,0.303,0.006,0.181,0.048,,EN,VU,,,,,
Licania oblongifolia,281353204,0.060,0.412,0.044,0.435,0.184,0.001,0.190,0.053,,VU,,,,,,
Sloanea guianensis,279134461,0.091,0.425,0.107,0.370,0.201,0.005,0.122,0.039,,VU,,,,,,
Abarema jupunba,278741313,0.076,0.381,0.169,0.476,0.265,0.005,0.148,0.034,,VU,,,,,,
Pouteria torta,277625599,0.109,0.439,0.069,0.332,0.159,0.001,0.126,0.034,,VU,,,,,,
Pourouma cecropiifolia,275744145,0.131,0.361,0.093,0.268,0.166,0.002,0.061,0.028,,,,,,,,
Miconia pyrifolia,274769839,0.026,0.333,0.298,0.610,0.360,0.006,0.069,0.019,,EN,VU,,,,,
Peltogyne paniculata,274441308,0.086,0.467,0.106,0.446,0.217,0.001,0.180,0.045,,VU,,,,,,
Tachigali chrysophylla,270421272,0.060,0.432,0.086,0.449,0.218,0.001,0.177,0.045,,VU,,,,,,
Parkia multijuga,269663918,0.062,0.473,0.065,0.340,0.165,0.001,0.134,0.039,,VU,,,,,,
Mabea piriri,268772633,0.108,0.374,0.044,0.155,0.103,0.001,0.037,0.019,,,,,,,,
Ocotea glomerata,263408235,0.078,0.449,0.066,0.174,0.087,0.000,0.045,0.011,,,,,,,,
Chrysophyllum prieurii,263213955,0.076,0.451,0.081,0.499,0.194,0.002,0.232,0.043,,VU,,,,,,
Cecropia membranacea,263202704,0.151,0.413,0.061,0.176,0.122,0.001,0.046,0.028,,,,,,,,
